CALDT,TDBID_1,TDASK_1
20131022,102.0859375,102.1015625
20131023,102.078125,102.09375
20131024,102.0546875,102.078125
20131025,102.0546875,102.078125
20131028,102.0390625,102.0625
20131029,102.0390625,102.0546875
20131030,102.0390625,102.046875
20131031,102.2109375,102.234375
20131101,102.1796875,102.2109375
20131104,102.1875,102.2109375
20131105,102.1796875,102.1953125
20131106,102.1796875,102.2109375
20131107,102.1640625,102.1953125
20131108,102.1328125,102.1640625
20131112,102.1171875,102.1484375
20131113,102.125,102.140625
20131114,102.125,102.1484375
20131115,102.109375,102.1171875
20131118,102.0859375,102.109375
20131119,102.09375,102.1015625
20131120,102.09375,102.1015625
20131121,102.0859375,102.1171875
20131122,102.0625,102.0703125
20131125,102.0625,102.0703125
20131126,102.0546875,102.0625
20131127,102.0390625,102.0546875
20131129,101.9375,101.9609375
20131202,101.921875,101.9453125
20131203,101.9296875,101.9375
20131204,101.90625,101.9375
20131205,101.921875,101.9296875
20131206,101.90625,101.9140625
20131209,101.8984375,101.90625
20131210,101.890625,101.90625
20131211,101.890625,101.9140625
20131212,101.859375,101.890625
20131213,101.84375,101.875
20131216,101.84375,101.875
20131217,101.8515625,101.859375
20131218,101.8515625,101.859375
20131219,101.8203125,101.8515625
20131220,101.8125,101.84375
20131223,101.8125,101.8359375
20131224,101.8125,101.8359375
20131226,101.8125,101.828125
20131227,101.796875,101.8359375
20131230,101.7734375,101.796875
20131231,102.4375,102.4453125
20140102,102.4140625,102.4375
20140103,102.3984375,102.4140625
20140106,102.40625,102.4296875
20140107,102.40625,102.4140625
20140108,102.375,102.40625
20140109,102.375,102.3984375
20140110,102.3671875,102.390625
20140113,102.375,102.3828125
20140114,102.3671875,102.375
20140115,102.35546875,102.37890625
20140116,102.359375,102.3671875
20140117,102.3359375,102.359375
20140121,102.3359375,102.359375
20140122,102.3046875,102.3359375
20140123,102.3203125,102.328125
20140124,102.2734375,102.3046875
20140127,102.28125,102.296875
20140128,102.2734375,102.2890625
20140129,102.2734375,102.28125
20140130,102.265625,102.28125
20140131,102.078125,102.09375
20140203,102.0625,102.0859375
20140204,102.046875,102.078125
20140205,102.0546875,102.0703125
20140206,102.03125,102.0546875
20140207,102.0234375,102.0390625
20140210,102.015625,102.0390625
20140211,102,102.03125
20140212,102,102.03125
20140213,102.0078125,102.0390625
20140214,101.9921875,102.015625
20140218,102,102.03125
20140219,101.9921875,102.0078125
20140220,101.9765625,102
20140221,101.96875,101.9765625
20140224,101.9609375,101.9921875
20140225,101.9609375,101.96875
20140226,101.9609375,101.96875
20140227,101.953125,101.9609375
20140228,102.203125,102.2109375
20140303,102.1875,102.2109375
20140304,102.1953125,102.203125
20140305,102.1875,102.1953125
20140306,102.1796875,102.1875
20140307,102.1484375,102.171875
20140310,102.1328125,102.1640625
20140311,102.1328125,102.15625
20140312,102.1484375,102.15625
20140313,102.140625,102.15625
20140314,102.109375,102.1328125
20140317,102.109375,102.1171875
20140318,102.1015625,102.1171875
20140319,102.078125,102.1015625
20140320,102.078125,102.09375
20140321,102.0625,102.0859375
20140324,102.046875,102.0703125
20140325,102.0546875,102.078125
20140326,102.0625,102.0703125
20140327,102.0625,102.0703125
20140328,102.046875,102.0546875
20140331,102.34375,102.3515625
20140401,102.34375,102.3671875
20140402,102.3359375,102.359375
20140403,102.3203125,102.3515625
20140404,102.328125,102.34375
20140407,102.3125,102.328125
20140408,102.3203125,102.328125
20140409,102.3125,102.3359375
20140410,102.3046875,102.328125
20140411,102.28125,102.3046875
20140414,102.28125,102.296875
20140415,102.265625,102.2890625
20140416,102.2734375,102.296875
20140417,102.2265625,102.2578125
20140421,102.234375,102.2578125
20140422,102.234375,102.25
20140423,102.2265625,102.2421875
20140424,102.2265625,102.234375
20140425,102.203125,102.2109375
20140428,102.203125,102.2109375
20140429,102.1953125,102.21875
20140430,102.3828125,102.3984375
20140501,102.3828125,102.390625
20140502,102.359375,102.375
20140505,102.359375,102.3671875
20140506,102.328125,102.359375
20140507,102.34375,102.3515625
20140508,102.34375,102.3515625
20140509,102.3203125,102.34375
20140512,102.2890625,102.3125
20140513,102.3046875,102.3125
20140514,102.3046875,102.3125
20140515,102.3046875,102.3125
20140516,102.28125,102.296875
20140519,102.28125,102.296875
20140520,102.2734375,102.2890625
20140521,102.2734375,102.28125
20140522,102.2578125,102.2734375
20140523,102.234375,102.265625
20140527,102.21875,102.25
20140528,102.21875,102.2265625
20140529,102.1953125,102.2265625
20140530,101.984375,102
20140602,101.984375,101.9921875
20140603,101.96875,102
20140604,101.984375,101.9921875
20140605,101.9765625,101.984375
20140606,101.9375,101.96875
20140609,101.9296875,101.953125
20140610,101.9296875,101.9453125
20140611,101.9296875,101.9375
20140612,101.9140625,101.9453125
20140613,101.90625,101.9296875
20140616,101.8828125,101.90625
20140617,101.8671875,101.890625
20140618,101.859375,101.890625
20140619,101.875,101.90625
20140620,101.859375,101.890625
20140623,101.859375,101.8828125
20140624,101.8515625,101.875
20140625,101.84375,101.8671875
20140626,101.8359375,101.859375
20140627,101.8203125,101.84375
20140630,101.71875,101.7265625
20140701,101.71875,101.7265625
20140702,101.7109375,101.71875
20140703,101.6953125,101.7109375
20140707,101.6796875,101.703125
20140708,101.671875,101.6953125
20140709,101.6875,101.6953125
20140710,101.6953125,101.703125
20140711,101.6875,101.6953125
20140714,101.6796875,101.6875
20140715,101.671875,101.6875
20140716,101.671875,101.6796875
20140717,101.671875,101.6796875
20140718,101.65625,101.6796875
20140721,101.6484375,101.6640625
20140722,101.6484375,101.6796875
20140723,101.6484375,101.6796875
20140724,101.6484375,101.65625
20140725,101.6171875,101.6484375
20140728,101.6171875,101.625
20140729,101.609375,101.6328125
20140730,101.59375,101.609375
20140731,101.59375,101.6015625
20140801,101.59375,101.6015625
20140804,101.5859375,101.6171875
20140805,101.59375,101.6015625
20140806,101.59375,101.6015625
20140807,101.578125,101.6015625
20140808,101.5625,101.5859375
20140811,101.5625,101.5859375
20140812,101.5703125,101.59375
20140813,101.5703125,101.59375
20140814,101.5546875,101.578125
20140815,101.5625,101.5859375
20140818,101.5546875,101.5703125
20140819,101.5546875,101.5625
20140820,101.515625,101.546875
20140821,101.5234375,101.546875
20140822,101.5234375,101.5546875
20140825,101.5234375,101.5390625
20140826,101.5234375,101.546875
20140827,101.515625,101.5234375
20140828,101.515625,101.53125
20140829,101.125,101.15625
20140902,101.1015625,101.1328125
20140903,101.125,101.1328125
20140904,101.125,101.1484375
20140905,101.109375,101.140625
20140908,101.1015625,101.125
20140909,101.078125,101.1015625
20140910,101.09375,101.1015625
20140911,101.09375,101.109375
20140912,101.09375,101.1015625
20140915,101.09375,101.1015625
20140916,101.078125,101.09375
20140917,101.0625,101.09375
20140918,101.078125,101.1015625
20140919,101.0703125,101.078125
20140922,101.078125,101.109375
20140923,101.078125,101.1015625
20140924,101.0625,101.0859375
20140925,101.0703125,101.0859375
20140926,101.046875,101.0703125
20140929,101.0546875,101.0859375
20140930,101.09375,101.109375
20141001,101.109375,101.1171875
20141002,101.09375,101.125
20141003,101.0859375,101.1171875
20141006,101.09375,101.125
20141007,101.0859375,101.109375
20141008,101.09375,101.125
20141009,101.1015625,101.1171875
20141010,101.1015625,101.125
20141014,101.0859375,101.1171875
20141015,101.1015625,101.109375
20141016,101.09375,101.1015625
20141017,101.0703125,101.09375
20141020,101.0859375,101.109375
20141021,101.0625,101.0859375
20141022,101.0703125,101.0859375
20141023,101.0703125,101.09375
20141024,101.0546875,101.0859375
20141027,101.0546875,101.0703125
20141028,101.046875,101.078125
20141029,101.0859375,101.109375
20141030,101.03125,101.0390625
20141031,101.0859375,101.109375
20141103,101.0703125,101.1015625
20141104,101.0859375,101.1171875
20141105,101.0859375,101.09375
