CALDT,TDBID,TDASK
20131004,99.8046875,99.8515625
20131007,99.84375,99.890625
20131008,99.7421875,99.7890625
20131009,99.7578125,99.8046875
20131010,99.7421875,99.7890625
20131011,99.78125,99.828125
20131015,99.6953125,99.7421875
20131016,99.8984375,99.9453125
20131017,100.203125,100.25
20131018,100.171875,100.21875
20131021,100.078125,100.125
20131022,100.4140625,100.4609375
20131023,100.40625,100.453125
20131024,100.3203125,100.3671875
20131025,100.40625,100.453125
20131028,100.375,100.421875
20131029,100.515625,100.5625
20131030,100.359375,100.40625
20131031,102.1015625,102.109375
20131101,101.8828125,101.9140625
20131104,101.9765625,102.0078125
20131105,101.84375,101.875
20131106,102.0625,102.09375
20131107,102.2109375,102.21875
20131108,101.6875,101.71875
20131112,101.53125,101.546875
20131113,101.9921875,102.015625
20131114,102.1171875,102.125
20131115,102.0234375,102.0546875
20131118,102.1953125,102.203125
20131119,102,102.015625
20131120,101.9296875,101.9609375
20131121,101.9140625,101.9453125
20131122,101.9296875,101.9609375
20131125,102.0703125,102.1015625
20131126,102.1953125,102.2265625
20131127,102.046875,102.078125
20131129,100.09375,100.125
20131202,99.8984375,99.921875
20131203,99.9765625,100.0078125
20131204,99.7578125,99.7890625
20131205,99.546875,99.5625
20131206,99.5234375,99.5625
20131209,99.546875,99.5859375
20131210,99.7109375,99.734375
20131211,99.484375,99.5078125
20131212,99.3203125,99.3359375
20131213,99.3125,99.34375
20131216,99.3203125,99.3515625
20131217,99.4765625,99.5078125
20131218,99.265625,99.296875
20131219,98.9375,98.96875
20131220,98.84375,98.875
20131223,98.78125,98.8125
20131224,98.6015625,98.6328125
20131226,98.5390625,98.5703125
20131227,98.4765625,98.5078125
20131230,98.65625,98.6875
20131231,98.28125,98.3203125
20140102,98.359375,98.421875
20140103,98.3359375,98.3515625
20140106,98.5390625,98.5546875
20140107,98.5859375,98.609375
20140108,98.171875,98.234375
20140109,98.2578125,98.2890625
20140110,98.859375,98.90625
20140113,99.0078125,99.0390625
20140114,98.75,98.7578125
20140115,98.625,98.640625
20140116,98.765625,98.796875
20140117,98.8125,98.84375
20140121,98.734375,98.78125
20140122,98.5,98.515625
20140123,98.96875,98.984375
20140124,99.25,99.28125
20140127,99.1171875,99.1484375
20140128,99.1640625,99.1953125
20140129,99.4375,99.46875
20140130,99.3984375,99.421875
20140131,98.8203125,98.8515625
20140203,99.0859375,99.1171875
20140204,98.9296875,98.9609375
20140205,98.8046875,98.8203125
20140206,98.6640625,98.6953125
20140207,98.8984375,98.9296875
20140210,98.8671875,98.875
20140211,98.578125,98.59375
20140212,98.4453125,98.453125
20140213,98.7421875,98.7578125
20140214,98.6484375,98.6796875
20140218,98.8671875,98.8828125
20140219,98.6953125,98.7265625
20140220,98.59375,98.625
20140221,98.6328125,98.65625
20140224,98.546875,98.578125
20140225,98.6875,98.75
20140226,98.8984375,98.9296875
20140227,98.9140625,98.9453125
20140228,99.3359375,99.34375
20140303,99.5390625,99.578125
20140304,99.1796875,99.1875
20140305,99.1484375,99.1640625
20140306,99.03125,99.046875
20140307,98.703125,98.71875
